Order Occ,Line,Sta,Station_key,Lat (dec),Lat (deg),Lat (min),Lat (deg min),Lon (dec),Lon (deg),Lon (min),Lon (deg min),Est Depth,Sta Type
90,66.7,50,66.7_50,36.78696,36,47.2,36 47.22,-122.05633,122,3.4,122 3.38,1006,ROS
91,66.7,55,66.7_55,36.62029,36,37.2,36 37.22,-122.41482,122,24.9,122 24.89,2613,ROS
92,66.7,60,66.7_60,36.45363,36,27.2,36 27.22,-122.77254,122,46.4,122 46.35,2954,ROS
93,66.7,65,66.7_65,36.28696,36,17.2,36 17.22,-123.12948,123,7.8,123 7.77,3273,ROS
94,66.7,70,66.7_70,36.12029,36,7.2,36 7.22,-123.48565,123,29.1,123 29.14,3581,ROS
95,66.7,75,66.7_75,35.95363,35,57.2,35 57.22,-123.84106,123,50.5,123 50.46,3885,ROS
96,66.7,80,66.7_80,35.78696,35,47.2,35 47.22,-124.19571,124,11.7,124 11.74,3964,ROS
97,66.7,85,66.7_85,35.62029,35,37.2,35 37.22,-124.54962,124,33,124 32.98, ,ROS
98,66.7,90,66.7_90,35.45363,35,27.2,35 27.22,-124.90278,124,54.2,124 54.17,4437,ROS
99,66.7,95,66.7_95,35.28696,35,17.2,35 17.22,-125.2552,125,15.3,125 15.31, ,ROS
100,66.7,100,66.7_100,35.12029,35,7.2,35 7.22,-125.60689,125,36.4,125 36.41, ,ROS
101,63.3,100,63.3_100,35.70919,35,42.6,35 42.55,-126.05088,126,3.1,126 3.05, ,ROS
102,63.3,90,63.3_90,36.04252,36,2.6,36 2.55,-125.34152,125,20.5,125 20.49,4224,ROS
103,63.3,80,63.3_80,36.37586,36,22.6,36 22.55,-124.62912,124,37.7,124 37.75,4153,ROS
104,63.3,70,63.3_70,36.70919,36,42.6,36 42.55,-123.91364,123,54.8,123 54.82,3890,ROS
105,63.3,60,63.3_60,37.04252,37,2.6,37 2.55,-123.19502,123,11.7,123 11.70,2566,ROS
106,63.3,55,63.3_55,37.20919,37,12.6,37 12.55,-122.83452,122,50.1,122 50.07,301,ROS
107,63.3,52,63.3_52,37.30919,37,18.6,37 18.55,-122.61783,122,37.1,122 37.07,89,ROS
108,60,53,60_53,37.84743,37,50.8,37 50.85,-123.09942,123,6,123 5.97,87,ROS
109,60,60,60_60,37.6141,37,36.8,37 36.85,-123.60825,123,36.5,123 36.49,3298,ROS
110,60,70,60_70,37.28077,37,16.8,37 16.85,-124.33237,124,19.9,124 19.94,3999,ROS
111,60,80,60_80,36.94743,36,56.8,36 56.85,-125.05327,125,3.2,125 3.20,4339,ROS
112,60,90,60_90,36.6141,36,36.8,36 36.85,-125.77099,125,46.3,125 46.26,4516,ROS
113,60,100,60_100,36.28077,36,16.8,36 16.85,-126.48559,126,29.1,126 29.14, ,ROS
