"Line","Station","Cruise","Year","Effort","Latitude","Longitude"
90,100,"CC0901",2009,20,31.08462,-122.66202
90,100,"CC0504",2005,26,31.08462,-122.66202
90,100,"CC0907",2009,14,31.08462,-122.66202
90,100,"CC1110",2011,13,31.08462,-122.66202
90,100,"CC0911",2009,34,31.08462,-122.66202
90,100,"CC0511",2005,16,31.08462,-122.66202
90,100,"CC1104",2011,4,31.08462,-122.66202
90,100,"CC1008",2010,28,31.08462,-122.66202
90,100,"CC0707",2007,17,31.08462,-122.66202
90,100,"CC1202",2012,11,31.08462,-122.66202
90,100,"CC1210",2012,3,31.08462,-122.66202
90,110,"CC1207",2012,6,30.75128,-123.33164
90,110,"CC0801",2008,20,30.75128,-123.33164
90,110,"CC0903",2009,3,30.75128,-123.33164
90,110,"CC1110",2011,13,30.75128,-123.33164
90,110,"CC1008",2010,26,30.75128,-123.33164
90,110,"CC0604",2006,19,30.75128,-123.33164
90,110,"CC1210",2012,4,30.75128,-123.33164
90,110,"CC0907",2009,13,30.75128,-123.33164
90,110,"CC0901",2009,4,30.75128,-123.33164
90,110,"CC0411",2004,21,30.75128,-123.33164
90,110,"CC1202",2012,23,30.75128,-123.33164
90,110,"CC0602",2006,9,30.75128,-123.33164
90,110,"CC1001",2010,7,30.75128,-123.33164
90,110,"CC0808",2008,19,30.75128,-123.33164
90,120,"CC0810",2008,20,30.41795,-123.99893
90,120,"CC0507",2005,9,30.41795,-123.99893
90,120,"CC0411",2004,31,30.41795,-123.99893
90,120,"CC1001",2010,7,30.41795,-123.99893
90,120,"CC1108",2011,12,30.41795,-123.99893
90,120,"CC1207",2012,6,30.41795,-123.99893
90,120,"CC0701",2007,18,30.41795,-123.99893
90,120,"CC0707",2007,12,30.41795,-123.99893
90,120,"CC0602",2006,14,30.41795,-123.99893
90,120,"CC0803",2008,16,30.41795,-123.99893
90,120,"CC0504",2005,21,30.41795,-123.99893
90,120,"CC0711",2007,18,30.41795,-123.99893
90,28,"CC0411",2004,18,33.48462,-117.76808
