"station","Year","Season","cruise","line","SB#","D/O?","Date","Hour","Quality","Sarah's scale (amt of background)","Types of Background","Detections?","Blue B","Blue D","Fin 20Hz Singular","Fin 20Hz Song","Fin C.C.","Fin H.C.","Humpback Song","Humpback Non-song","Start/End","Hour spans","Comments","Scan Method","Time window","Top freq","Low Freq","FFT Length","Overlap","SpeciesName","longitude","latitude","depth"
30,2010,"Summer","CC1008","90.0","SB16","OMNI",2010-08-06,1899-12-31 03:00:00,"High","bit","1,2,A","No",0,0,0,0,0,0,0,0,NA,7,NA,"wav files, cts","60s","500Hz","0Hz",3000,0.95,NA,-117.76808,33.48462,63
30,2007,"Fall","CC07","93.0","SB01","OMNI",2007-11-03,1899-12-31 15:00:00,"Medium","bit to lots","1,2,3,A,B","Yes",1,1,0,1,0,0,0,0,"starts 15:48:35",2,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-117.76808,33.48462,63
30,2010,"Summer","CC1008","90.0","SB16","OMNI",2010-08-06,1899-12-31 04:00:00,"High","bit","1,2","No",0,0,0,0,0,0,0,0,"ends 4:11:31",2,NA,"wav files, cts","60s","500Hz","0Hz",3000,0.95,NA,-117.76808,33.48462,63
30,2011,"Winter","CC1101","90.0","SB23","DIFAR",2011-01-19,1899-12-31 19:00:00,"Poor","tons","1,2,3,A,B","No",0,0,0,0,0,0,0,0,NA,7,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-117.76808,33.48462,63
30,2010,"Winter","CC10","90.0","SB13","DIFAR",2010-01-19,1899-12-31 14:00:00,"Medium","bit to lots","1,2,3,A,B","Yes",0,0,0,1,0,0,0,0,NA,2,NA,"wav files, cts","60s","500Hz","0Hz",3000,0.95,"Fin Whale",-117.76808,33.48462,63
30,2012,"Summer","CC1207","90.0","SB21","DIFAR",2012-07-17,1899-12-31 12:00:00,"Medium","lots","1,2,3","No",0,0,0,0,0,0,0,0,NA,1,NA,"wav files, cts","60s","500Hz","0Hz",3500,0.98,NA,-117.76808,33.48462,63
30,2012,"Summer","CC1207","90.0","SB21","DIFAR",2012-07-17,1899-12-31 11:00:00,"High","bit","1,2,3","No",0,0,0,0,0,0,0,0,NA,1,NA,"wav files, cts","60s","500Hz","0Hz",3500,0.98,NA,-117.76808,33.48462,63
30,2007,"Spring","CC07","93.0","SB01","OMNI",2007-03-28,1899-12-31 14:00:00,"High**","bit to lots**","1,2,A,B","Yes",0,0,0,1,0,0,0,0,"starts 14:38:46",3,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-117.76808,33.48462,63
30,2007,"Fall","CC07","93.0","SB01","OMNI",2007-11-03,1899-12-31 16:00:00,"Medium**","bit to lots**","1,2,3,A,B","Yes",1,1,0,1,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-117.76808,33.48462,63
30,2007,"Fall","CC07","93.0","SB01","OMNI",2007-11-03,1899-12-31 16:00:00,"Medium**","bit to lots**","1,2,3,A,B","Yes",1,1,0,1,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-117.76808,33.48462,63
