"line","station","Year","Season","Species Name","Duration (Hours)"
90,37,2011,"Fall","Blue whale",5
90,37,2011,"Fall","Fin whale",5
90,37,2011,"Spring","Blue whale",5
90,37,2011,"Spring","Fin whale",11
90,37,2012,"Winter","Humpback whale",3
90,45,2004,"Fall","Blue whale",13
90,45,2004,"Fall","Fin whale",16
90,45,2005,"Summer","Blue whale",18
90,45,2005,"Summer","Fin whale",18
90,45,2006,"Spring","Fin whale",19
90,45,2006,"Spring","Humpback whale",18
90,45,2007,"Fall","Blue whale",11
90,45,2007,"Fall","Fin whale",11
90,45,2008,"Winter","Fin whale",19
90,45,2009,"Spring","Fin whale",21
90,45,2010,"Winter","Fin whale",7
90,45,2011,"Spring","Fin whale",7
90,45,2012,"Spring","Fin whale",7
90,45,2012,"Spring","Humpback whale",2
90,53,2004,"Fall","Fin whale",4
90,53,2005,"Spring","Blue whale",10
90,53,2005,"Spring","Humpback whale",6
90,53,2005,"Summer","Blue whale",16
90,53,2005,"Summer","Fin whale",16
90,53,2005,"Summer","Humpback whale",6
90,53,2005,"Winter","Blue whale",6
90,53,2005,"Winter","Fin whale",18
90,53,2006,"Fall","Blue whale",13
90,53,2006,"Fall","Fin whale",19
90,53,2006,"Summer","Blue whale",12
90,53,2006,"Summer","Fin whale",6
90,53,2007,"Fall","Blue whale",7
90,53,2007,"Fall","Fin whale",16
90,53,2007,"Summer","Blue whale",6
90,53,2007,"Summer","Fin whale",15
90,53,2007,"Winter","Fin whale",13
90,53,2008,"Spring","Fin whale",7
90,53,2008,"Spring","Humpback whale",4
90,53,2010,"Winter","Blue whale",2
90,53,2010,"Winter","Fin whale",7
90,53,2012,"Fall","Blue whale",2
90,53,2012,"Fall","Fin whale",3
90,53,2012,"Spring","Fin whale",9
90,53,2012,"Spring","Humpback whale",11
90,60,2004,"Summer","Blue whale",16
90,60,2005,"Fall","Fin whale",9
90,60,2005,"Spring","Blue whale",12
90,60,2005,"Spring","Humpback whale",8
90,60,2005,"Winter","Blue whale",3
90,60,2005,"Winter","Humpback whale",5
90,60,2007,"Spring","Fin whale",4
90,60,2007,"Spring","Humpback whale",10
90,60,2007,"Summer","Blue whale",12
90,60,2007,"Summer","Fin whale",11
90,60,2007,"Winter","Humpback whale",5
90,60,2008,"Fall","Blue whale",6
90,60,2008,"Fall","Fin whale",16
90,60,2008,"Summer","Blue whale",7
90,60,2008,"Summer","Fin whale",6
90,60,2009,"Winter","Humpback whale",16
90,70,2004,"Summer","Blue whale",15
90,70,2005,"Fall","Blue whale",11
90,70,2005,"Fall","Fin whale",11
90,70,2006,"Spring","Humpback whale",8
90,70,2006,"Winter","Fin whale",3
90,70,2006,"Winter","Humpback whale",9
90,70,2007,"Spring","Blue whale",12
90,70,2008,"Summer","Blue whale",8
90,70,2008,"Summer","Fin whale",8
90,70,2008,"Winter","Humpback whale",6
90,70,2009,"Fall","Blue whale",15
90,70,2009,"Fall","Fin whale",7
90,70,2009,"Spring","Fin whale",11
90,70,2009,"Spring","Humpback whale",12
90,70,2009,"Winter","Fin whale",8
90,70,2009,"Winter","Humpback whale",17
90,70,2010,"Summer","Fin whale",16
90,70,2012,"Fall","Blue whale",1
90,70,2012,"Fall","Fin whale",1
90,70,2012,"Winter","Humpback whale",3
90,80,2005,"Summer","Blue whale",16
90,80,2005,"Summer","Fin whale",6
90,80,2006,"Fall","Fin whale",10
90,80,2006,"Winter","Blue whale",6
90,80,2006,"Winter","Humpback whale",11
90,80,2007,"Fall","Blue whale",16
90,80,2007,"Fall","Fin whale",4
90,80,2010,"Winter","Humpback whale",3
90,80,2011,"Fall","Blue whale",13
90,80,2011,"Fall","Humpback whale",5
90,80,2012,"Spring","Humpback whale",9
90,80,2012,"Summer","Fin whale",1
90,90,2004,"Fall","Fin whale",12
90,90,2004,"Fall","Humpback whale",6
90,90,2005,"Spring","Blue whale",4
90,90,2005,"Spring","Humpback whale",12
90,90,2005,"Summer","Blue whale",17
90,90,2005,"Winter","Blue whale",11
90,90,2005,"Winter","Fin whale",6
90,90,2005,"Winter","Humpback whale",15
90,90,2006,"Fall","Fin whale",6
90,90,2007,"Spring","Blue whale",4
90,90,2007,"Spring","Humpback whale",14
90,90,2007,"Summer","Blue whale",9
90,90,2008,"Spring","Blue whale",8
90,90,2008,"Spring","Humpback whale",2
90,90,2010,"Winter","Fin whale",4
90,90,2010,"Winter","Humpback whale",5
90,90,2011,"Spring","Fin whale",4
90,90,2011,"Spring","Humpback whale",8
90,90,2012,"Spring","Humpback whale",9
90,90,2012,"Summer","Humpback whale",1
90,100,2005,"Spring","Humpback whale",13
90,100,2005,"Winter","Fin whale",5
90,100,2005,"Winter","Humpback whale",18
90,100,2006,"Summer","Blue whale",6
90,100,2007,"Summer","Blue whale",12
90,100,2008,"Summer","Blue whale",12
90,100,2009,"Winter","Fin whale",17
90,100,2009,"Winter","Humpback whale",20
90,100,2011,"Fall","Fin whale",7
90,100,2011,"Spring","Blue whale",4
90,100,2011,"Spring","Humpback whale",4
90,110,2004,"Fall","Blue whale",10
90,110,2004,"Fall","Fin whale",5
90,110,2006,"Spring","Fin whale",2
90,110,2006,"Spring","Humpback whale",8
90,110,2008,"Winter","Humpback whale",20
90,110,2009,"Winter","Humpback whale",4
90,110,2010,"Winter","Fin whale",6
90,110,2010,"Winter","Humpback whale",7
90,110,2011,"Fall","Humpback whale",4
90,110,2012,"Summer","Blue whale",4
90,110,2012,"Winter","Humpback whale",8
90,120,2004,"Fall","Blue whale",6
90,120,2004,"Fall","Fin whale",6
90,120,2004,"Fall","Humpback whale",12
90,120,2005,"Spring","Blue whale",6
90,120,2006,"Winter","Fin whale",4
90,120,2006,"Winter","Humpback whale",14
90,120,2007,"Fall","Blue whale",6
90,120,2007,"Summer","Blue whale",4
90,120,2007,"Winter","Humpback whale",18
90,120,2008,"Spring","Humpback whale",15
90,120,2010,"Winter","Humpback whale",6
93,26,2011,"Summer","Blue whale",14
93,26,2011,"Summer","Fin whale",14
93,28,2005,"Summer","Blue whale",6
93,28,2005,"Winter","Blue whale",6
93,28,2005,"Winter","Fin whale",5
93,28,2006,"Summer","Blue whale",5
93,28,2011,"Summer","Blue whale",4
93,30,2007,"Fall","Blue whale",16
93,30,2007,"Fall","Fin whale",16
93,30,2007,"Spring","Fin whale",9
93,30,2010,"Winter","Fin whale",3
93,35,2007,"Fall","Blue whale",15
93,35,2007,"Fall","Fin whale",15
93,35,2007,"Fall","Humpback whale",2
93,35,2007,"Spring","Blue whale",12
93,35,2007,"Spring","Fin whale",12
93,35,2009,"Winter","Fin whale",4
93,35,2010,"Winter","Fin whale",4
93,35,2011,"Fall","Fin whale",5
93,40,2006,"Summer","Blue whale",16
93,40,2007,"Spring","Blue whale",6
93,40,2007,"Spring","Fin whale",14
93,40,2007,"Winter","Blue whale",6
93,40,2007,"Winter","Fin whale",15
93,40,2008,"Summer","Blue whale",19
93,40,2008,"Summer","Fin whale",19
93,40,2009,"Spring","Fin whale",9
93,40,2009,"Winter","Fin whale",17
93,40,2011,"Fall","Blue whale",2
93,40,2011,"Fall","Fin whale",10
93,40,2011,"Fall","Humpback whale",4
93,40,2011,"Spring","Fin whale",10
93,40,2012,"Summer","Blue whale",1
93,40,2012,"Summer","Fin whale",1
93,40,2012,"Winter","Fin whale",12
93,45,2004,"Summer","Blue whale",16
93,45,2005,"Winter","Blue whale",6
93,45,2005,"Winter","Fin whale",11
93,45,2006,"Fall","Blue whale",8
93,45,2006,"Fall","Fin whale",8
93,45,2006,"Summer","Blue whale",10
93,45,2007,"Summer","Fin whale",14
93,45,2008,"Summer","Blue whale",4
93,45,2008,"Summer","Fin whale",4
93,45,2008,"Winter","Fin whale",10
93,45,2009,"Summer","Humpback whale",6
93,45,2010,"Summer","Blue whale",21
93,45,2010,"Summer","Fin whale",21
93,45,2011,"Fall","Blue whale",11
93,45,2011,"Fall","Fin whale",11
93,45,2011,"Spring","Fin whale",2
93,45,2011,"Spring","Humpback whale",5
93,45,2012,"Spring","Humpback whale",6
93,45,2012,"Winter","Fin whale",14
93,50,2004,"Fall","Blue whale",10
93,50,2005,"Fall","Blue whale",9
93,50,2005,"Fall","Fin whale",9
93,50,2005,"Spring","Blue whale",16
93,50,2005,"Spring","Fin whale",5
93,50,2005,"Spring","Humpback whale",11
93,50,2005,"Summer","Blue whale",19
93,50,2005,"Winter","Fin whale",11
93,50,2006,"Fall","Blue whale",15
93,50,2006,"Fall","Fin whale",15
93,50,2006,"Spring","Fin whale",10
93,50,2006,"Spring","Humpback whale",9
93,50,2006,"Summer","Blue whale",17
93,50,2007,"Summer","Blue whale",11
93,50,2007,"Summer","Fin whale",11
93,50,2008,"Fall","Humpback whale",9
93,50,2008,"Summer","Blue whale",13
93,50,2008,"Summer","Fin whale",13
93,50,2010,"Fall","Blue whale",6
93,50,2010,"Fall","Fin whale",6
93,50,2010,"Summer","Blue whale",12
93,50,2010,"Summer","Fin whale",27
93,50,2010,"Summer","Humpback whale",16
93,50,2011,"Spring","Fin whale",7
93,50,2011,"Spring","Humpback whale",4
93,50,2011,"Summer","Blue whale",5
93,55,2005,"Spring","Fin whale",2
93,55,2005,"Spring","Humpback whale",8
93,55,2005,"Summer","Blue whale",18
93,55,2005,"Winter","Blue whale",9
93,55,2005,"Winter","Fin whale",12
93,55,2007,"Fall","Blue whale",4
93,55,2007,"Fall","Fin whale",8
93,55,2007,"Summer","Blue whale",14
93,55,2007,"Summer","Fin whale",14
93,60,2007,"Fall","Blue whale",5
93,60,2007,"Winter","Fin whale",12
93,60,2007,"Winter","Humpback whale",12
93,60,2010,"Winter","Fin whale",5
93,60,2010,"Winter","Humpback whale",4
93,70,2004,"Fall","Blue whale",20
93,70,2004,"Fall","Fin whale",7
93,70,2004,"Fall","Humpback whale",6
93,70,2004,"Summer","Blue whale",14
93,70,2005,"Fall","Blue whale",14
93,70,2005,"Fall","Fin whale",14
93,70,2006,"Spring","Humpback whale",11
93,70,2007,"Spring","Humpback whale",16
93,70,2007,"Winter","Fin whale",17
93,70,2007,"Winter","Humpback whale",17
93,70,2008,"Summer","Blue whale",12
93,70,2008,"Summer","Fin whale",7
93,70,2008,"Winter","Fin whale",13
93,70,2008,"Winter","Humpback whale",6
93,70,2009,"Spring","Fin whale",10
93,70,2009,"Summer","Humpback whale",5
93,70,2009,"Winter","Fin whale",22
93,70,2009,"Winter","Humpback whale",22
93,70,2010,"Fall","Blue whale",1
93,70,2010,"Fall","Fin whale",2
93,70,2010,"Winter","Fin whale",3
93,70,2010,"Winter","Humpback whale",5
93,70,2012,"Spring","Humpback whale",7
93,70,2012,"Summer","Blue whale",1
93,70,2012,"Winter","Fin whale",6
93,70,2012,"Winter","Humpback whale",6
93,80,2004,"Spring","Fin whale",4
93,80,2005,"Fall","Blue whale",9
93,80,2005,"Summer","Blue whale",15
93,80,2005,"Summer","Fin whale",6
93,80,2005,"Winter","Humpback whale",14
93,80,2006,"Fall","Fin whale",6
93,80,2006,"Spring","Fin whale",2
93,80,2006,"Spring","Humpback whale",13
93,80,2007,"Spring","Fin whale",3
93,80,2007,"Spring","Humpback whale",9
93,80,2007,"Summer","Blue whale",6
93,80,2008,"Summer","Blue whale",18
93,80,2008,"Summer","Fin whale",7
93,80,2010,"Fall","Blue whale",3
93,80,2010,"Fall","Fin whale",2
93,80,2010,"Summer","Fin whale",15
93,80,2011,"Spring","Humpback whale",4
93,90,2005,"Spring","Humpback whale",16
93,90,2005,"Summer","Blue whale",14
93,90,2005,"Winter","Humpback whale",14
93,90,2007,"Fall","Blue whale",2
93,90,2007,"Summer","Blue whale",10
93,90,2008,"Fall","Fin whale",10
93,90,2008,"Spring","Humpback whale",6
93,90,2011,"Spring","Fin whale",2
93,90,2011,"Spring","Humpback whale",2
93,100,2004,"Fall","Blue whale",9
93,100,2007,"Fall","Blue whale",6
93,100,2007,"Fall","Fin whale",9
93,100,2007,"Winter","Fin whale",16
93,100,2007,"Winter","Humpback whale",21
93,100,2008,"Spring","Humpback whale",6
93,100,2009,"Spring","Blue whale",4
93,100,2009,"Spring","Humpback whale",11
93,100,2010,"Winter","Fin whale",2
93,100,2010,"Winter","Humpback whale",6
93,110,2004,"Fall","Blue whale",6
93,110,2004,"Summer","Blue whale",9
93,110,2005,"Spring","Humpback whale",16
93,110,2006,"Spring","Humpback whale",9
93,110,2007,"Spring","Humpback whale",3
93,110,2008,"Winter","Humpback whale",14
93,110,2009,"Spring","Humpback whale",16
93,110,2009,"Winter","Fin whale",5
93,110,2009,"Winter","Humpback whale",15
93,110,2010,"Fall","Blue whale",1
93,110,2010,"Fall","Fin whale",1
93,110,2010,"Winter","Fin whale",2
93,110,2010,"Winter","Humpback whale",8
93,110,2011,"Spring","Humpback whale",2
93,110,2012,"Spring","Blue whale",4
93,110,2012,"Spring","Fin whale",8
93,110,2012,"Spring","Humpback whale",8
93,120,2005,"Spring","Blue whale",5
93,120,2005,"Spring","Humpback whale",18
93,120,2005,"Summer","Blue whale",8
93,120,2005,"Winter","Blue whale",8
93,120,2005,"Winter","Humpback whale",16
93,120,2006,"Summer","Blue whale",12
93,120,2007,"Spring","Fin whale",5
93,120,2007,"Summer","Fin whale",8
93,120,2008,"Spring","Humpback whale",5
93,120,2010,"Fall","Humpback whale",3
93,120,2011,"Spring","Humpback whale",4
93,120,2012,"Spring","Humpback whale",9
